q,dt,stage_residual,stage_err,endpoint_err,max_reconstruction_dev
1,0.25,6.938893903907228e-17,0.027042979291623914,0.010999631758967584,2.7755575615628914e-17
1,0.5,9.71445146547012e-17,0.06525486979889689,0.04374997349530416,0.0
1,1.0,0.0,0.1083645406330811,0.09754204053861676,0.0
1,2.0,0.0,0.5081442341175411,0.36391091839102113,0.0
2,0.25,1.0451708942760263e-16,0.0018780967977443108,0.00013124798207910584,0.0
2,0.5,9.71445146547012e-17,0.010983732318691541,0.0017664422189564953,5.551115123125783e-17
2,1.0,1.1102230246251565e-16,0.04627481802420508,0.011824662592969923,1.1102230246251565e-16
2,2.0,7.979727989493313e-17,0.673150343801497,0.976917191836433,0.0
4,0.25,1.0793232627093197e-16,3.044858926770644e-06,3.3838522752707e-10,5.551115123125783e-17
4,0.5,5.551115123125783e-17,3.332042707149263e-05,5.545469015750804e-08,5.551115123125783e-17
4,1.0,5.551115123125783e-17,0.0014316606232728235,2.3285238635447342e-05,1.1102230246251565e-16
4,2.0,3.3306690738754696e-16,0.01801464602612024,0.004365013323206294,3.3306690738754696e-16
8,0.25,8.326672684688674e-17,3.8483008446554834e-11,7.707858776888524e-15,2.7755575615628914e-17
8,0.5,1.1102230246251565e-16,1.8444508864678966e-08,8.043563897910369e-15,1.1102230246251565e-16
8,1.0,1.1102230246251565e-16,3.598691713568858e-06,7.909681650345471e-12,1.1102230246251565e-16
8,2.0,1.1102230246251565e-16,0.0001259875096173424,1.2572505993807626e-07,2.220446049250313e-16
