horizon,seed,phase,step,epsilon,loss_weighted,loss_total,loss_start,loss_residual,min_weight,awake_fraction
14.0,2,adam,0,0.01,2.3390450484782037,2.339053793005515,2.3311122978235037,0.007941495182010979,0.9977885871505447,1.0
14.0,2,adam,500,1.0,0.03621908201804656,0.15819700442825207,0.0004932914229772351,0.15770371300527483,0.012599443080116901,0.13214285714285715
14.0,2,adam,1000,1.0,0.03619223216057454,0.15132453882603547,0.0006443551497359038,0.15068018367629957,0.01510822645394666,0.14642857142857144
14.0,2,adam,1500,1.0,0.03624345003441557,0.14937220570676402,0.0006659396456381055,0.1487062660611259,0.01598807052545747,0.15357142857142858
14.0,2,adam,2000,1.0,0.03634839061137153,0.14643769669676876,0.0007921511875888901,0.14564554550917988,0.01744021765937809,0.15357142857142858
14.0,2,adam,2500,1.0,0.036322426262188255,0.14262888055672077,0.0008139911092155216,0.14181488944750525,0.01942924152199477,0.15714285714285714
14.0,2,adam,3000,1.0,0.03617433161281791,0.13834663834905583,0.0007644948043886378,0.1375821435446672,0.02185549862329197,0.15714285714285714
14.0,2,adam,3500,1.0,0.03617795557427614,0.13497356341620398,0.0008511207283022043,0.13412244268790177,0.024046407841242654,0.15714285714285714
14.0,2,adam,4000,1.0,0.0359248153836307,0.13244610447484786,0.0006723158099645439,0.13177378866488332,0.025624790785966876,0.15714285714285714
14.0,2,adam,4500,1.0,0.03591094178590595,0.13133484935331502,0.0006871982589236955,0.13064765109439133,0.02642457423348085,0.15714285714285714
14.0,2,adam,5000,1.0,0.036003526110326006,0.12997282885109587,0.0008244639170961952,0.12914836493399967,0.027517439028225787,0.15714285714285714
14.0,2,adam,5500,1.0,0.036055707452801275,0.12823324805150527,0.0009127365316802449,0.127320511519825,0.028953244522089788,0.15714285714285714
14.0,2,adam,6000,1.0,0.03580486029833387,0.1267465857447358,0.0007054274519170498,0.12604115829281876,0.02996414414467805,0.15714285714285714
14.0,2,adam,6500,1.0,0.035718011135040646,0.124892958709523,0.0006734387585316006,0.1242195199509914,0.0314909442152962,0.15714285714285714
14.0,2,adam,7000,1.0,0.0356900680308794,0.12382011790290438,0.0006751442981592688,0.12314497360474512,0.032457846072775735,0.15714285714285714
14.0,2,adam,7500,1.0,0.03578979257863273,0.12378470329328391,0.0007864333504012347,0.12299826994288267,0.032569981783823074,0.15714285714285714
14.0,2,adam,8000,1.0,0.035716445759358326,0.12299029117415737,0.0007358970436999732,0.1222543941304574,0.03323167718387072,0.15714285714285714
14.0,2,adam,8500,1.0,0.03564733507948392,0.12250049636110513,0.0006773451827659303,0.1218231511783392,0.0335991032609623,0.15714285714285714
14.0,2,adam,9000,1.0,0.0356519293276368,0.12219751608392221,0.0006914853698442252,0.12150603071407798,0.033864472064074586,0.15714285714285714
