variant,T,seed,n_times,n_f_evals,finite,rel_l2
rk6_dt08,3,-1,4,21.0,True,0.6729303972256221
gl3_dt08,3,-1,4,,True,6.280827771064118e-05
plain,3,0,4,,True,1.9900676322266446e-05
plain,3,1,4,,True,4.448896547419433e-05
plain,3,2,4,,True,3.2767112363449525e-05
causal,3,0,4,,True,2.8109799827570167e-05
causal,3,1,4,,True,3.148421177460114e-05
causal,3,2,4,,True,2.971454254166644e-05
rk6_dt08,7,-1,9,56.0,True,0.7232828841810077
gl3_dt08,7,-1,9,,True,0.0011950753884017475
plain,7,0,9,,True,0.004046898882007536
plain,7,1,9,,True,0.0006627954422272734
plain,7,2,9,,True,0.00045266179701008736
causal,7,0,9,,True,0.00013407884979329198
causal,7,1,9,,True,8.723755928735751e-05
causal,7,2,9,,True,5.685735443571983e-05
rk6_dt08,14,-1,18,119.0,False,
gl3_dt08,14,-1,18,,True,0.003039874993163911
plain,14,0,18,,True,0.7871034571227514
plain,14,1,18,,True,0.7754093315279293
plain,14,2,18,,True,0.770897740198273
causal,14,0,18,,True,0.00024464898581889216
causal,14,1,18,,True,0.00011394701762329807
causal,14,2,18,,True,0.770101259758519
rk6_dt08,27,-1,34,231.0,False,
gl3_dt08,27,-1,34,,True,0.005359445086446613
plain,27,0,34,,True,0.8972024552886678
plain,27,1,34,,True,0.8951163559784109
plain,27,2,34,,True,0.896356422524607
causal,27,0,34,,True,0.878138105454772
causal,27,1,34,,True,1.8810228246235454
causal,27,2,34,,True,1.978767778758655
rk6_dt08,40,-1,51,350.0,False,
gl3_dt08,40,-1,51,,True,0.00819219600308609
plain,40,0,51,,True,2.0780075765357813
plain,40,1,51,,True,0.9322446450353892
plain,40,2,51,,True,0.9371118723069948
causal,40,0,51,,True,0.9488428443643103
causal,40,1,51,,True,2.0252267049312693
causal,40,2,51,,True,2.250807884963521
