17:43 475/600 running=125
17:48 488/600 running=112
17:53 493/600 running=107
17:58 499/600 running=101
18:03 508/600 running=93
18:08 514/600 running=86
18:13 518/600 running=82
18:18 525/600 running=75
18:23 532/600 running=68
18:28 540/600 running=60
18:33 544/600 running=56
18:38 549/600 running=51
18:43 550/600 running=50
18:48 554/600 running=46
18:53 557/600 running=43
18:58 557/600 running=43
19:03 558/600 running=42
19:08 560/600 running=40
19:13 561/600 running=39
19:18 562/600 running=38
19:23 563/600 running=37
19:28 563/600 running=37
19:33 563/600 running=37
19:38 565/600 running=35
19:43 567/600 running=33
19:48 568/600 running=32
19:53 569/600 running=31
19:58 571/600 running=29
20:03 572/600 running=28
20:08 574/600 running=26
20:13 574/600 running=26
20:18 575/600 running=25
20:23 575/600 running=25
20:28 576/600 running=24
20:33 577/600 running=23
20:38 580/600 running=20
20:43 581/600 running=19
20:48 581/600 running=19
20:53 582/600 running=18
20:58 582/600 running=18
21:03 585/600 running=15
21:08 586/600 running=14
21:13 586/600 running=14
21:18 586/600 running=14
21:23 587/600 running=13
21:28 587/600 running=13
21:33 587/600 running=13
21:38 587/600 running=13
21:43 587/600 running=13
21:48 587/600 running=13
21:53 588/600 running=12
21:58 588/600 running=12
22:03 588/600 running=12
22:08 588/600 running=12
22:13 588/600 running=12
22:18 588/600 running=12
22:23 589/600 running=11
22:28 589/600 running=11
22:33 589/600 running=11
22:38 589/600 running=11
22:43 589/600 running=11
22:48 589/600 running=11
22:53 589/600 running=11
22:58 589/600 running=11
23:03 589/600 running=11
23:08 589/600 running=11
23:13 589/600 running=11
23:18 589/600 running=11
23:23 590/600 running=10
23:28 590/600 running=10
23:33 590/600 running=10
23:38 590/600 running=10
23:43 590/600 running=10
23:48 590/600 running=10
23:53 591/600 running=9
23:58 591/600 running=9
00:03 592/600 running=8
00:08 593/600 running=7
00:13 593/600 running=7
00:18 593/600 running=7
00:23 593/600 running=7
00:28 593/600 running=7
00:33 594/600 running=6
00:38 594/600 running=6
00:43 594/600 running=6
00:48 594/600 running=6
00:53 594/600 running=6
00:58 595/600 running=5
01:03 595/600 running=5
01:08 595/600 running=5
01:13 595/600 running=5
01:18 595/600 running=5
01:23 595/600 running=5
01:28 595/600 running=5
01:33 595/600 running=5
01:38 595/600 running=5
01:43 595/600 running=5
01:48 596/600 running=4
01:53 596/600 running=4
01:58 597/600 running=3
02:03 597/600 running=3
02:08 597/600 running=3
02:13 597/600 running=3
02:18 598/600 running=2
02:23 598/600 running=2
02:28 599/600 running=1
02:33 599/600 running=1
02:38 FINAL 600/600 queue=0
