tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,tau_final,density,extensions,adam_seconds,lbfgs_seconds,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15,source,periods,hours,n_points,periods_survived
pseudo_unw_T14_s0,pseudo_unw,14.0,0,6.319367806418517e-05,1.9141430561488263e-09,True,0.0,2.829969043757492,60000,plateau,200000,0.0001,0,False,10,stalled,60,True,3.0793691255035967e-07,3.485607162808863e-13,3.079365639896434e-07,,3.317442367967916e-05,0.5868225188651911,20.0,0,441.4,24.1,success,1.0,0.007604822309590304,,,converged,2.1010651794302406,0.12930555555555556,280,2.1010651794302406
pseudo_unw_T14_s1,pseudo_unw,14.0,1,0.0003694480816239544,6.036012379725585e-08,True,0.0,2.8299720122873513,63000,plateau,200000,0.0001,0,False,8,stalled,60,True,5.295030788200062e-07,2.1433723782688402e-12,5.295009354476279e-07,,1.751520616092577e-05,0.542324242046125,20.0,0,462.7,19.1,success,1.0,0.00985951446666112,,,converged,2.1010651794302406,0.13383333333333333,280,2.1010651794302406
pseudo_unw_T14_s2,pseudo_unw,14.0,2,4.168493021815779e-05,9.48773447949107e-10,True,0.0,2.82994825539352,60000,plateau,200000,0.0001,0,False,9,stalled,60,True,2.0794741512178388e-07,3.380676313833442e-14,2.0794738131502075e-07,,1.4157731966560904e-05,0.6123952308226912,20.0,0,494.9,22.8,success,1.0,0.00385626029737307,,,converged,2.1010651794302406,0.14380555555555555,280,2.1010651794302406
pseudo_unw_T14_s3,pseudo_unw,14.0,3,0.00014527852443657418,9.4824144226369e-09,True,0.0,2.830007650904415,61250,plateau,200000,0.0001,0,False,12,stalled,60,True,3.64147543037333e-07,2.3122818733127987e-14,3.6414751991451425e-07,,1.4446129882833401e-05,0.6118544013388724,20.0,0,465.0,30.4,success,1.0,0.0027049983090906417,,,converged,2.1010651794302406,0.1376111111111111,280,2.1010651794302406
pseudo_unw_T14_s4,pseudo_unw,14.0,4,0.0006632528143052768,1.9622218041066914e-07,True,0.0,2.8299496052035984,60250,plateau,200000,0.0001,0,False,9,stalled,60,True,1.3142332880872165e-06,7.368891901038795e-12,1.3142259191953156e-06,,3.134896997550014e-05,0.515829803806799,20.0,0,484.0,21.3,success,1.0,0.02777555942063275,,,converged,2.1010651794302406,0.1403611111111111,280,2.1010651794302406
pseudo_unw_T14_s5,pseudo_unw,14.0,5,0.00011281924546664665,5.958364695290239e-09,True,0.0,2.8300083599490957,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,4.1582083327642743e-07,3.5828810869262856e-12,4.158172503953405e-07,,1.784331225513143e-05,0.7529505216017172,20.0,0,1129.4,49.6,success,1.0,0.012768874937165066,,,converged,2.1010651794302406,0.3275,280,2.1010651794302406
pseudo_unw_T14_s6,pseudo_unw,14.0,6,0.00013648156141487437,8.545282414701842e-09,True,0.0,2.8299706966105895,60250,plateau,200000,0.0001,0,False,16,stalled,60,True,2.5929678930512964e-07,2.54959978677496e-12,2.592942397053429e-07,,2.4867640079413484e-05,0.5599028137241859,20.0,0,1124.1,105.3,success,1.0,0.0074484341012969035,,,converged,2.1010651794302406,0.34149999999999997,280,2.1010651794302406
pseudo_unw_T14_s7,pseudo_unw,14.0,7,4.8676648182819036e-05,1.4350165369068286e-09,True,0.0,2.8299672754639245,60000,plateau,200000,0.0001,0,False,14,stalled,60,True,3.2280087430217895e-07,5.060334911648418e-14,3.2280082369882984e-07,,1.677838877321185e-05,0.5648294891454735,20.0,0,487.1,36.1,success,1.0,0.0019794700597348153,,,converged,2.1010651794302406,0.14533333333333334,280,2.1010651794302406
pseudo_unw_T14_s8,pseudo_unw,14.0,8,0.0001592640996459849,1.1548996146639982e-08,True,0.0,2.8299261618829954,60000,plateau,200000,0.0001,0,False,11,stalled,60,True,2.3747951424599562e-07,2.1831198996641053e-12,2.3747733112609595e-07,,1.2174771899868255e-05,0.5820012985721966,20.0,0,1138.8,86.3,success,1.0,0.004559685097721159,,,converged,2.1010651794302406,0.34030555555555553,280,2.1010651794302406
pseudo_unw_T14_s9,pseudo_unw,14.0,9,0.00012554327800086648,7.345415175634744e-09,True,0.0,2.8299380931448956,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,3.700754637750516e-07,1.9238404831462927e-12,3.7007353993456846e-07,,1.3226571771220575e-05,0.6034495154864628,20.0,0,485.9,21.1,success,1.0,0.009261309877618822,,,converged,2.1010651794302406,0.14083333333333334,280,2.1010651794302406
