arm,density,horizon,n,converged,success,rel_l2_median,rel_l2_min,loss_median,periods_survived_median,tau_median,adam_epochs_median,lbfgs_restarts_median,hours_median,n_points,parked,flow-following,diffuse,periods
pseudo_unw,20.0,14.0,10,10,10,0.0001310124197078704,4.168493021815779e-05,3.4347420866975595e-07,2.1010651794302406,0.5844119087186939,60000.0,9.5,0.14231944444444444,280,0,0,0,2.1010651794302406
pseudo_unw,20.0,27.0,10,10,8,0.0005178958049564799,8.501893833134389e-05,6.082284067427614e-07,4.052054274615464,0.7199380459283654,60000.0,19.5,0.22408333333333333,540,2,0,0,4.052054274615464
pseudo_unw,20.0,40.0,10,9,7,0.005406879427278122,0.00042443369639911485,2.757255811701077e-06,6.003043369800688,0.6772683473062597,61625.0,41.0,0.33697222222222223,800,2,0,1,6.003043369800688
pseudo_unw,20.0,67.0,10,9,1,0.5569589447563097,0.04971068010923989,0.012877642643856584,5.831206253340143,0.7406357882770402,61375.0,7.5,0.4296527777777778,1340,4,0,5,10.055097644416152
pseudo_unw,20.0,100.0,10,10,0,0.7801761590480645,0.6606497553788476,0.00860884042046562,4.394978127115328,0.9291101944249184,60000.0,6.5,0.6703749999999999,2000,10,0,0,15.007608424501719
pseudo_unw,80.0,14.0,10,10,10,0.00011434666248625634,2.774918565149021e-05,2.707138478469083e-07,2.1010651794302406,0.6942399043776013,60125.0,9.5,0.3408333333333334,1120,0,0,0,2.1010651794302406
pseudo_unw,80.0,27.0,10,10,9,0.00037620254993141124,0.000103335399754784,6.034451408176136e-07,4.052054274615464,0.7235031076644243,60375.0,22.0,1.0449583333333332,2160,1,0,0,4.052054274615464
pseudo_unw,80.0,40.0,10,9,5,0.3492493734801764,0.0011770202508099485,0.00022121237767450363,4.313937041623019,0.7796032997677237,60500.0,23.5,1.7744305555555555,3200,4,0,1,6.003043369800688
pseudo_unw,320.0,14.0,10,10,10,6.134203198420055e-05,3.0490562028671667e-05,2.567351475811039e-07,2.1010651794302406,0.6715027434842487,60375.0,9.5,2.1635833333333334,4480,0,0,0,2.1010651794302406
pseudo_unw,320.0,27.0,10,10,10,0.00023597768275015563,8.677276042962048e-05,5.607477921132048e-07,4.052054274615464,0.7643311192077673,60750.0,23.5,2.1948194444444447,8640,0,0,0,4.052054274615464
pseudo_unw,320.0,40.0,5,5,4,0.002058396065554598,0.00019961392266736549,1.4284693952175606e-06,6.003043369800688,0.7775401719866806,60000.0,40.0,3.4253333333333336,12800,0,0,1,6.003043369800688
base_unw,20.0,14.0,10,10,5,0.3567188129991278,5.1550375484238557e-05,4.066959036734324e-07,1.578050025836356,,60125.0,7.5,0.05329166666666667,280,5,0,0,2.1010651794302406
base_unw,20.0,27.0,10,10,0,0.9496691950291751,0.8416321014696337,3.238540379798647e-05,0.3474261350272148,,62000.0,5.0,0.10852777777777778,540,9,0,1,4.052054274615464
base_unw,20.0,40.0,10,10,0,0.9350600126134806,0.8515365756360629,0.010519007782510977,0.36618564555784194,,60625.0,5.0,0.17047222222222222,800,10,0,0,6.003043369800688
base_unw,20.0,67.0,10,10,0,0.9619393597137432,0.9586533580244377,0.012565955085036093,0.36243374345171653,,60125.0,3.0,0.3416666666666667,1340,10,0,0,10.055097644416152
base_unw,20.0,100.0,10,10,0,0.9782858919774988,0.974404122315824,0.004227545898076411,0.36243374345171653,,61125.0,9.5,0.5900277777777778,2000,10,0,0,15.007608424501719
base_unw,80.0,14.0,10,10,10,6.738812754629854e-05,4.10211708091379e-05,4.042019041664009e-07,2.1010651794302406,,60250.0,7.0,0.2983194444444444,1120,0,0,0,2.1010651794302406
