arm,horizon,success,n,rel_l2_median,loss_median,protocol
base_unw,14.0,5,10,0.35678553726572015,4.7310062477063736e-07,phase1_fixed_budget
base_unw,27.0,0,10,0.9226661709142083,0.0038172692820779056,phase1_fixed_budget
base_unw,40.0,0,10,0.9351192430583072,0.011200816961311642,phase1_fixed_budget
resample_unw,14.0,10,10,0.0001528868758815443,4.422637256896772e-07,phase1_fixed_budget
resample_unw,27.0,0,10,0.9018742556446925,0.03122999366171659,phase1_fixed_budget
resample_unw,40.0,0,10,0.9347518832889263,0.02110919792716652,phase1_fixed_budget
reg_unw,14.0,10,10,7.704451634985766e-05,3.153563476130396e-07,phase1_fixed_budget
reg_unw,27.0,0,10,2.1970573093451895,0.0013444533471246927,phase1_fixed_budget
reg_unw,40.0,0,10,3.0780596620429588,0.006835344622065866,phase1_fixed_budget
base_causal,14.0,8,10,0.0001869249667188804,4.7734256644308e-07,phase1_fixed_budget
base_causal,27.0,0,10,1.9456645304334774,0.004178006886948301,phase1_fixed_budget
base_causal,40.0,0,10,2.1766358280726994,0.003275092897375523,phase1_fixed_budget
reg_causal,14.0,7,10,0.0006100532750210989,6.145238781949739e-07,phase1_fixed_budget
reg_causal,27.0,0,10,2.1565959508146335,0.005819499008068936,phase1_fixed_budget
reg_causal,40.0,0,10,2.753818485640825,0.008545282532396274,phase1_fixed_budget
base_unw,14.0,5,10,0.3705834604477009,7.970982533719328e-07,wave1_loose_plateau
base_unw,27.0,0,10,0.9015978590846223,0.015630333168182915,wave1_loose_plateau
base_unw,40.0,0,10,0.9353590611477101,0.02102091460392176,wave1_loose_plateau
resample_unw,14.0,10,10,0.00012292010524709402,6.649802692314764e-07,wave1_loose_plateau
resample_unw,27.0,0,10,0.9017906023960655,0.031248960830214632,wave1_loose_plateau
resample_unw,40.0,0,10,0.9349286218779488,0.02110475426367718,wave1_loose_plateau
reg_unw,14.0,10,10,0.00013117992652001835,5.946250316978277e-07,wave1_loose_plateau
reg_unw,27.0,0,10,2.603077126537517,9.507599839261283e-05,wave1_loose_plateau
reg_unw,40.0,0,10,3.434648962451049,0.00021973230771368975,wave1_loose_plateau
reg_always_unw,14.0,10,10,9.998326749934044e-05,4.6267490099151023e-07,wave1_loose_plateau
reg_always_unw,27.0,0,10,1.920129643809588,0.045189153533018514,wave1_loose_plateau
reg_always_unw,40.0,0,10,2.4477989550891124,0.040029136864231,wave1_loose_plateau
base_causal,14.0,8,10,0.00018336488762143917,4.039330818213546e-07,wave1_loose_plateau
base_causal,27.0,0,10,1.896979534367881,0.006503396317129873,wave1_loose_plateau
base_causal,40.0,0,10,2.185180912001169,0.020600194972605346,wave1_loose_plateau
reg_causal,14.0,7,10,0.00018472972307308677,3.662218361963648e-07,wave1_loose_plateau
reg_causal,27.0,0,10,2.42580118900763,4.3267431913688447e-05,wave1_loose_plateau
reg_causal,40.0,0,10,3.1141104018961148,0.025084957704683095,wave1_loose_plateau
base_unw,14.0,5,10,0.3567188129991278,4.066959036734324e-07,converged
base_unw,27.0,0,10,0.9496691950291751,3.238540379798647e-05,converged
base_unw,40.0,0,10,0.9350600126134806,0.010519007782510977,converged
resample_unw,14.0,10,10,8.250116279491735e-05,3.763312866229096e-07,converged
resample_unw,27.0,0,10,0.902151567583118,0.031232718208617498,converged
resample_unw,40.0,0,10,0.9347577379596349,0.02110924699592831,converged
reg_unw,14.0,10,10,8.489986282499499e-05,3.59472036153694e-07,converged
reg_unw,27.0,0,10,2.172074720117647,8.89271339801836e-05,converged
reg_unw,40.0,0,10,3.602257191872506,0.00010620336984573486,converged
reg_always_unw,14.0,10,10,0.00011317507022245648,3.563670593092039e-07,converged
reg_always_unw,27.0,0,10,1.920340116708496,0.0001680514727468202,converged
reg_always_unw,40.0,0,10,2.6946063250665553,0.018323280767066234,converged
reg_resample_unw,14.0,10,10,0.00011521807196920023,4.142973088757907e-07,converged
reg_resample_unw,27.0,0,10,1.7151013733957505,3.553184121037153e-05,converged
reg_resample_unw,40.0,0,10,2.608829335330094,0.02539780672831517,converged
pseudo_unw,14.0,10,10,0.0001310124197078704,3.4347420866975595e-07,converged
pseudo_unw,27.0,8,10,0.0005178958049564799,6.082284067427614e-07,converged
pseudo_unw,40.0,7,10,0.005406879427278122,2.757255811701077e-06,converged
base_causal,14.0,8,10,0.00019110843586825826,4.47656352982165e-07,converged
base_causal,27.0,0,10,1.8776722407048205,0.015760709022218194,converged
base_causal,40.0,0,10,2.138714015696121,0.028972290881994316,converged
reg_causal,14.0,7,10,0.00038009339709034457,4.2922693476586727e-07,converged
reg_causal,27.0,0,10,2.1928734327272803,1.92687761143729e-05,converged
reg_causal,40.0,0,10,2.1431966754067844,0.040471866024039085,converged
