arm,horizon,n,converged,adam_epochs_median,adam_exit_plateau,lbfgs_restarts_median,lbfgs_stalled,success,rel_l2_median,rel_l2_min,loss_median,grad_norm_median,parked,flow_following,diffuse,t_rho_1e2_median_periods,t_l2_015_median_periods
base_unw,14.0,10.0,10.0,60125.0,10.0,7.5,10.0,5.0,0.3567188129991278,5.1550375484238557e-05,4.066959036734324e-07,1.6176749293082234e-05,5.0,0.0,0.0,0.6273180321441718,0.6483286839384743
base_unw,27.0,10.0,10.0,62000.0,10.0,5.0,10.0,0.0,0.9496691950291751,0.8416321014696337,3.238540379798647e-05,0.0019564777445300304,9.0,0.0,1.0,0.21385842004914946,0.34742613502721487
base_unw,40.0,10.0,10.0,60625.0,10.0,5.0,10.0,0.0,0.9350600126134806,0.8515365756360629,0.010519007782510977,0.00421584755228335,10.0,0.0,0.0,0.2813926579594072,0.36618564555784194
resample_unw,14.0,10.0,10.0,60375.0,10.0,7.0,10.0,10.0,8.250116279491735e-05,4.289962747730038e-05,3.763312866229096e-07,1.560243228801058e-05,0.0,0.0,0.0,,
resample_unw,27.0,10.0,10.0,60500.0,10.0,3.0,10.0,0.0,0.902151567583118,0.9015375229617675,0.031232718208617498,0.0008360622264105194,10.0,0.0,0.0,0.21235765920669933,0.3616833630304914
resample_unw,40.0,10.0,10.0,60625.0,10.0,3.0,10.0,0.0,0.9347577379596349,0.9344201819008746,0.02110924699592831,0.00028537305196836424,10.0,0.0,0.0,0.21235765920669933,0.36243374345171653
reg_unw,14.0,10.0,10.0,60000.0,10.0,7.0,10.0,10.0,8.489986282499499e-05,5.665463271896873e-05,3.59472036153694e-07,1.1873188640942436e-05,0.0,0.0,0.0,,
reg_unw,27.0,10.0,10.0,62000.0,10.0,20.5,10.0,0.0,2.172074720117647,1.3466631154132083,8.89271339801836e-05,0.014400472025100947,1.0,6.0,3.0,0.0022511412636752577,0.0022511412636752577
reg_unw,40.0,10.0,10.0,60500.0,10.0,25.0,10.0,0.0,3.602257191872506,2.0394323219134582,0.00010620336984573486,0.020422458898701416,0.0,7.0,3.0,0.0022511412636752577,0.0022511412636752577
reg_always_unw,14.0,10.0,10.0,60375.0,10.0,7.0,10.0,10.0,0.00011317507022245648,5.3816423898476326e-05,3.563670593092039e-07,1.1918201656458791e-05,0.0,0.0,0.0,,
reg_always_unw,27.0,10.0,9.0,63000.0,10.0,20.5,9.0,0.0,1.920340116708496,1.6770156072629667,0.0001680514727468202,0.011020094746692195,0.0,8.0,2.0,0.014257228003276633,0.0375190210612543
reg_always_unw,40.0,10.0,10.0,61750.0,10.0,14.5,10.0,0.0,2.6946063250665553,2.2398655859761654,0.018323280767066234,0.0551054122784934,0.0,5.0,5.0,0.026263314742878005,0.07278690085883334
reg_resample_unw,14.0,10.0,10.0,60500.0,10.0,6.0,10.0,10.0,0.00011521807196920023,6.081480949020405e-05,4.142973088757907e-07,1.908919803027218e-05,0.0,0.0,0.0,,
reg_resample_unw,27.0,10.0,8.0,73125.0,10.0,21.5,8.0,0.0,1.7151013733957505,1.2238140617447364,3.553184121037153e-05,0.005587813721788694,0.0,6.0,4.0,0.0022511412636752577,0.0022511412636752577
reg_resample_unw,40.0,10.0,9.0,63250.0,10.0,14.0,9.0,0.0,2.608829335330094,2.036662401844963,0.02539780672831517,0.0217208936662994,0.0,5.0,5.0,0.01275646716082646,0.03676864064002921
pseudo_unw,14.0,10.0,10.0,60000.0,10.0,9.5,10.0,10.0,0.0001310124197078704,4.168493021815779e-05,3.4347420866975595e-07,1.714679746706881e-05,0.0,0.0,0.0,,
pseudo_unw,27.0,10.0,10.0,60000.0,10.0,19.5,10.0,8.0,0.0005178958049564799,8.501893833134389e-05,6.082284067427614e-07,3.4949236552055146e-05,2.0,0.0,0.0,0.2131080396279244,0.3609329826092664
pseudo_unw,40.0,10.0,9.0,61625.0,10.0,41.0,9.0,7.0,0.005406879427278122,0.00042443369639911485,2.757255811701077e-06,9.949316456962554e-05,2.0,0.0,1.0,0.21761032215527493,0.3601826021880412
base_causal,14.0,10.0,10.0,61125.0,10.0,8.0,10.0,8.0,0.00019110843586825826,6.283058106628933e-05,4.47656352982165e-07,2.307741310274977e-05,0.0,2.0,0.0,1.092553893303725,1.108311882149452
base_causal,27.0,10.0,10.0,68875.0,10.0,10.0,10.0,0.0,1.8776722407048205,0.8054790556370666,0.015760709022218194,0.012398303403917822,2.0,4.0,4.0,0.026263314742878005,0.07203652043760825
base_causal,40.0,10.0,10.0,60875.0,10.0,6.0,10.0,0.0,2.138714015696121,0.9090299171794934,0.028972290881994316,0.03514235262998246,3.0,2.0,5.0,0.02776407558532818,0.07278690085883334
reg_causal,14.0,10.0,10.0,60875.0,10.0,10.5,10.0,7.0,0.00038009339709034457,7.17586606979273e-05,4.2922693476586727e-07,1.6542827135188878e-05,1.0,2.0,0.0,1.0625386764547218,1.3221703021986015
reg_causal,27.0,10.0,10.0,67875.0,10.0,19.5,10.0,0.0,2.1928734327272803,1.2194099359001287,1.92687761143729e-05,0.007077840198579407,1.0,7.0,2.0,0.0022511412636752577,0.0045022825273505155
reg_causal,40.0,10.0,10.0,63500.0,10.0,6.0,10.0,0.0,2.1431966754067844,2.0514887101123174,0.040471866024039085,0.019075558533792412,0.0,4.0,6.0,0.026263314742878005,0.07128614001638316
