arm,depth,width,n_runs,rel_l2_median,rel_l2_min,rel_l2_max
physics causal,4,50,3,1.9012071618261064,0.8778277412397089,1.9901218990408476
physics unweighted,4,50,3,0.9044413896565501,0.903169185891036,0.9053310584092534
supervised dens100,4,50,3,0.00043156239018843655,0.00033754533386525035,0.0005656574630765097
supervised dens20,4,50,3,0.00033895265745988,0.00029764812470332603,0.0003733191115479096
physics causal,4,64,1,0.42035417200257535,0.42035417200257535,0.42035417200257535
physics unweighted,4,64,1,0.9038984528631334,0.9038984528631334,0.9038984528631334
supervised dens100,4,64,3,0.00032236887147831596,0.0002803290113398859,0.0005698375960959569
supervised dens20,4,64,3,0.00044561795769285155,0.0003987780861808819,0.0004834258228245921
physics causal,6,32,1,0.899891138152201,0.899891138152201,0.899891138152201
physics unweighted,6,32,1,0.902648168233204,0.902648168233204,0.902648168233204
supervised dens100,6,32,3,0.0006034222802217132,0.00031252879231796716,0.000762466820307973
supervised dens20,6,32,3,0.00040822843461454857,0.0003618011186744434,0.0006323985719820104
physics causal,10,256,1,1.5147391916451611,1.5147391916451611,1.5147391916451611
physics unweighted,10,256,1,0.9067934286416494,0.9067934286416494,0.9067934286416494
supervised dens100,10,256,3,0.0004284343037035512,0.00039096861924110734,0.0005447730697833825
supervised dens20,10,256,3,0.0029538676494145475,0.0022082099710632307,0.004857748665044136
