horizon,seed,outer,loss_total,loss_start,loss_residual
3.0,0,0,0.0070193788121869554,0.0007833243457576638,0.0062360544664292914
3.0,0,1,2.3168761172694766e-06,6.814256545431745e-10,2.3161946916149335e-06
3.0,0,2,2.632814719804641e-07,1.8492675987767254e-10,2.630965452205864e-07
3.0,0,3,1.3565220031852294e-07,9.228422486831457e-13,1.3565127747627427e-07
3.0,0,4,1.35484504259206e-07,1.1799383820777295e-12,1.3548332432082393e-07
3.0,0,5,1.3534396309166286e-07,1.198005195943229e-12,1.3534276508646691e-07
3.0,1,0,0.006630019480413651,0.0009372440579844495,0.005692775422429201
3.0,1,1,6.277298142899395e-06,1.653179644629093e-08,6.260766346453104e-06
3.0,1,2,1.175447304612689e-06,3.848458272681954e-11,1.1754088200299623e-06
3.0,1,3,2.1265489167239627e-07,6.658135234261639e-12,2.12648233537162e-07
3.0,1,4,1.819210316186121e-07,3.2703024374880278e-12,1.8191776131617462e-07
3.0,1,5,1.818180064683155e-07,4.049885447301971e-12,1.8181395658286821e-07
3.0,2,0,0.007562116708550492,0.0008999891480371764,0.006662127560513316
3.0,2,1,1.971519444069129e-05,1.6028976129309492e-08,1.969916546456198e-05
3.0,2,2,3.412011489589902e-06,1.8865895480730464e-09,3.410124900041829e-06
3.0,2,3,7.606754333133853e-07,4.303029295275757e-12,7.606711302840899e-07
3.0,2,4,2.2705107440686067e-07,9.518823139917008e-11,2.269558861754615e-07
3.0,2,5,1.9754711066606517e-07,4.654350497324235e-13,1.9754664523101545e-07
7.0,0,0,0.09287064004131501,0.00013687431023455735,0.09273376573108046
7.0,0,1,0.006989937684537338,0.0002545121832313665,0.006735425501305971
7.0,0,2,0.0018992884821478417,4.749173020453957e-05,0.001851796751943302
7.0,0,3,0.00016851040751036933,7.799585376251744e-07,0.00016773044897274415
7.0,0,4,5.253268811696045e-05,4.983959936775909e-08,5.248284851759269e-05
7.0,0,5,2.7500804602098704e-05,2.465733831867144e-08,2.7476147263780034e-05
7.0,1,0,0.01550154774873724,0.0004940063584624027,0.015007541390274838
7.0,1,1,0.012838485419619213,0.0004019918963750451,0.012436493523244168
7.0,1,2,0.00973554517081245,0.0002724995114390297,0.00946304565937342
7.0,1,3,0.0005650918626354059,2.4546167736601596e-06,0.0005626372458617457
