seed,lap,t,error,net_y1,net_y2,ref_y1,ref_y2
0,1,6.663286859,0.01656786650673112,2.0056851640033644,-0.006805569713629694,2.008475831407152,-0.02313671713278862
0,2,13.326573718,0.04744366806940797,2.003548973947436,0.02402951718008238,2.00848316773205,-0.023156872505673793
0,3,19.989860577,0.03532354078430788,2.007526290834074,0.012153688641827639,2.0084831740465634,-0.02315688920756926
0,4,26.653147436,0.05381761712001938,2.00536676372894,0.03057042195561352,2.008483174059471,-0.02315688859617908
0,5,33.316434295,0.084318155341299,2.0036827122358645,0.06102450478623543,2.008483174066955,-0.023156887969929343
0,6,39.979721154,0.06992962831899736,2.007268236614263,0.046762186190029115,2.0084831740744424,-0.02315688734359954
1,1,6.663286859,0.019213330238772086,1.9978193755652212,-0.03912396229113582,2.008475831407152,-0.02313671713278862
1,2,13.326573718,0.04412491125662871,2.006584320754189,-0.06724090786497396,2.00848316773205,-0.023156872505673793
1,3,19.989860577,0.06537411293671139,2.0048591073859234,-0.0884304733216742,2.0084831740465634,-0.02315688920756926
1,4,26.653147436,0.08334837391674181,1.994799510342065,-0.10537433675552028,2.008483174059471,-0.02315688859617908
1,5,33.316434295,0.11279280614982795,2.0012127581959738,-0.13571513143621505,2.008483174066955,-0.023156887969929343
1,6,39.979721154,0.13059206167537868,2.0011114783384234,-0.15354072328426152,2.0084831740744424,-0.02315688734359954
2,1,6.663286859,0.0042869115787565835,2.0046444936873042,-0.02121357851049678,2.008475831407152,-0.02313671713278862
2,2,13.326573718,0.010932994575714517,2.0036086345007553,-0.032943051339601084,2.00848316773205,-0.023156872505673793
2,3,19.989860577,0.02613910399154573,2.005553477652316,-0.04913129269481752,2.0084831740465634,-0.02315688920756926
2,4,26.653147436,0.032453918299050824,2.0041736358310818,-0.05532340368904419,2.008483174059471,-0.02315688859617908
2,5,33.316434295,0.045359176079812824,2.0034485803157707,-0.06823579346240996,2.008483174066955,-0.023156887969929343
2,6,39.979721154,0.05766967040381795,2.0041857193818613,-0.08066621500138223,2.0084831740744424,-0.02315688734359954
