horizon,laps,seed,q,rel_l2,retrained_loss
3.0,0.45022825273505157,0,8,0.004069512572356208,2.0452247766216306e-05
7.0,1.0505325897151203,0,8,0.003448807688013236,2.0452247766216306e-05
14.0,2.1010651794302406,0,8,0.011411027068443342,2.0452247766216306e-05
27.0,4.052054274615464,0,8,0.015622990940222358,2.0452247766216306e-05
40.0,6.003043369800688,0,8,0.02537561431421853,2.0452247766216306e-05
3.0,0.45022825273505157,1,8,0.006218501442427223,2.6229876230459073e-05
7.0,1.0505325897151203,1,8,0.01497855136713653,2.6229876230459073e-05
14.0,2.1010651794302406,1,8,0.031342806523629425,2.6229876230459073e-05
27.0,4.052054274615464,1,8,0.040224719925684535,2.6229876230459073e-05
40.0,6.003043369800688,1,8,0.06208126366891027,2.6229876230459073e-05
3.0,0.45022825273505157,2,8,0.0038472635465446247,6.565526534012716e-06
7.0,1.0505325897151203,2,8,0.00664933163700095,6.565526534012716e-06
14.0,2.1010651794302406,2,8,0.010842578456917063,6.565526534012716e-06
27.0,4.052054274615464,2,8,0.017162642258214032,6.565526534012716e-06
40.0,6.003043369800688,2,8,0.02554569196047339,6.565526534012716e-06
