q,seed,n,capped,mse_rho,median_rho
2,0,441,1,0.0034734064592641637,8.636790831306132e-05
2,1,441,1,0.0035425942937441232,6.218560587766728e-05
2,2,441,1,0.0035090411969542113,7.216133639293798e-05
4,0,441,1,0.0022858417387767505,7.711322581682853e-06
4,1,441,1,0.002295875079524332,1.0085631335870638e-05
4,2,441,1,0.002293396684904415,1.2435459220950024e-05
8,0,441,1,0.0022841706370724585,7.1990551160781266e-06
8,1,441,1,0.0022815673840186077,6.545561552934726e-06
8,2,441,1,0.0022745798632864927,1.6635821202551773e-06
16,0,441,1,0.002282881965486016,6.3626481169301365e-06
16,1,441,1,0.0022870792860000743,5.988916243713848e-06
16,2,441,1,0.002276360094724331,2.942111149940915e-06
32,0,441,1,0.002279241739599276,4.2118639953893e-06
32,1,441,1,0.0022834332786648803,7.036330616914314e-06
32,2,441,1,0.0022814298249954137,5.069903265131972e-06
