q,seed,outer,loss
8,0,0,0.0006538051648903
8,0,1,0.0001258209293867
8,0,2,6.32510624462717e-05
8,0,3,3.69039699645787e-05
8,0,4,2.6705214424407344e-05
8,0,5,2.0452247766216303e-05
8,1,0,0.0010277384162757
8,1,1,0.0002065903986162
8,1,2,8.271802752814448e-05
8,1,3,5.251183854103777e-05
8,1,4,3.647276791529696e-05
8,1,5,2.622987623045908e-05
8,2,0,0.0003685833791441
8,2,1,5.023111260987184e-05
8,2,2,2.1665436185642537e-05
8,2,3,1.29141182240375e-05
8,2,4,8.878929859132213e-06
8,2,5,6.565526534012716e-06
2,0,0,0.0011764015896861759
2,0,1,0.0001672051454160292
2,0,2,8.532257783685365e-05
2,0,3,4.5034828220271116e-05
2,0,4,3.135535712931501e-05
2,0,5,2.5075128194975238e-05
2,1,0,0.0007256645531343818
2,1,1,8.894756951021636e-05
2,1,2,3.577745422640664e-05
2,1,3,1.945872814842308e-05
2,1,4,1.4073565209728246e-05
2,1,5,1.019663834961631e-05
2,2,0,0.0010755516267663312
2,2,1,0.00013620560068265398
2,2,2,5.412026291169299e-05
2,2,3,3.002721165885869e-05
2,2,4,2.1059133450110804e-05
2,2,5,1.6559971573739666e-05
4,0,0,0.000732449339042296
4,0,1,0.00012806180437209425
4,0,2,5.409910013088717e-05
4,0,3,2.783476077109761e-05
4,0,4,1.859039186385853e-05
4,0,5,1.4133855720995563e-05
4,1,0,0.0008183776100732321
4,1,1,0.00018766492606523669
4,1,2,6.45711513940797e-05
4,1,3,3.492138646363801e-05
4,1,4,2.599226767276161e-05
4,1,5,1.979121970385539e-05
4,2,0,0.0012307153059013727
4,2,1,0.0002660214310580808
4,2,2,9.667120923641461e-05
4,2,3,5.207068781770957e-05
4,2,4,3.208845625087196e-05
4,2,5,2.2628439362734462e-05
16,0,0,0.0006195540270262893
16,0,1,9.879470131157365e-05
16,0,2,4.8462092690821494e-05
16,0,3,3.120504048571857e-05
16,0,4,2.1646770883936057e-05
16,0,5,1.4113275685790669e-05
16,1,0,0.0005890044658263067
16,1,1,0.00010175908279016814
16,1,2,4.929906648044497e-05
16,1,3,2.9375044716805873e-05
16,1,4,1.8436062598314926e-05
16,1,5,1.3320008562004307e-05
16,2,0,0.00031426939662554236
16,2,1,6.0926002011726105e-05
16,2,2,2.7801329824866746e-05
16,2,3,1.535308422570843e-05
16,2,4,9.90588846421385e-06
16,2,5,7.100301304127833e-06
32,0,0,0.000301839265926711
32,0,1,4.9673291800222166e-05
32,0,2,2.1626116880367336e-05
32,0,3,1.2860580049792988e-05
32,0,4,8.584461116747985e-06
32,0,5,6.16612370198395e-06
32,1,0,0.0008323179412540428
32,1,1,0.00014700915179879454
32,1,2,6.713119907289416e-05
32,1,3,4.06973372227576e-05
32,1,4,2.7904324431085532e-05
32,1,5,2.012195865728635e-05
32,2,0,0.00045782518987100924
32,2,1,7.18175192723445e-05
32,2,2,3.490609838107184e-05
32,2,3,1.93698540647787e-05
32,2,4,1.161248707864507e-05
32,2,5,8.169915344638159e-06
