q,dt,sse,sqrt_sse,gap,ratio,smallest_sv,endpoint_gap,at_fold
1,0.5,1.1258054539866003e-20,1.0610397984932517e-10,9.523670740918533e-11,0.8975790309131466,0.9775510136720936,7.221477615265859e-11,False
1,1.0,1.9835565735619847e-21,4.453713701577577e-11,4.746003590128112e-11,1.0656283515590597,0.8853411997864358,1.74853494749602e-11,False
1,2.0,5.544902880458032e-15,7.446410464417088e-08,0.0003245078606657348,4357.90992474033,2.8577679864817966e-09,0.0009176230253774646,True
2,0.5,1.640573350419749e-18,1.2808486836546108e-09,6.312781408723822e-10,0.4928592650547709,0.9537863711651402,9.984694039274347e-10,False
2,1.0,2.6732391575803553e-18,1.6350043295295444e-09,1.1835117330605271e-09,0.7238584703938187,0.8369448668633356,6.450420444396446e-10,False
2,2.0,2.3234738143462717e-19,4.820242539900115e-10,5.090401433704983e-10,1.056046742787027,0.15432219106137568,6.901868218119277e-10,False
4,0.5,2.20582358994682e-19,4.69661962473737e-10,2.714088953581495e-10,0.5778813637123665,0.9484193908882548,1.8595728848381836e-10,False
4,1.0,5.015952231561489e-19,7.082338760297681e-10,3.686322358475991e-10,0.5204950628937508,0.8343602580452922,3.5319174892153193e-10,False
4,2.0,3.0983549861275274e-19,5.566286900733313e-10,3.623601418922817e-10,0.6509907741991231,0.4030345956283005,2.6121406869498843e-10,False
8,0.5,4.9257484591354e-20,2.2194027257655154e-10,1.1074496875096429e-10,0.4989854588592802,0.9500190069130938,9.458331962824214e-11,False
8,1.0,6.419020694566846e-19,8.011879114519168e-10,4.962419364318293e-10,0.6193827057781454,0.8278290931717934,2.496787134769253e-10,False
8,2.0,7.939866836576675e-19,8.910593042315801e-10,4.275362286421114e-10,0.47980670490928146,0.3822529334573971,2.597680360374325e-10,False
