q,dt,relation,y1,y2,dev
1,0.025,1,2.0,-3.469446951953614e-18,3.469446951953614e-18
1,0.025,2,2.0,0.0,0.0
1,0.05,1,2.0,0.0,0.0
1,0.05,2,2.0,0.0,0.0
1,0.1,1,2.0,0.0,0.0
1,0.1,2,2.0,0.0,0.0
1,0.2,1,2.0,0.0,0.0
1,0.2,2,2.0,0.0,0.0
1,0.4,1,2.0,2.7755575615628914e-17,2.7755575615628914e-17
1,0.4,2,2.0,0.0,0.0
1,0.5,1,2.0,0.0,0.0
1,0.5,2,2.0,0.0,0.0
1,0.8,1,2.0,0.0,0.0
1,0.8,2,2.0,0.0,0.0
1,1.0,1,2.0,0.0,0.0
1,1.0,2,2.0,0.0,0.0
1,2.0,1,2.0,0.0,0.0
1,2.0,2,2.0,0.0,0.0
2,0.025,1,2.0,0.0,0.0
2,0.025,2,2.0,0.0,0.0
2,0.025,3,2.0,0.0,0.0
2,0.05,1,2.0,-3.469446951953614e-18,3.469446951953614e-18
2,0.05,2,2.0,0.0,0.0
2,0.05,3,2.0,0.0,0.0
2,0.1,1,2.0,6.938893903907228e-18,6.938893903907228e-18
2,0.1,2,2.0,-2.7755575615628914e-17,2.7755575615628914e-17
2,0.1,3,2.0,0.0,0.0
2,0.2,1,2.0,-1.3877787807814457e-17,1.3877787807814457e-17
2,0.2,2,2.0,0.0,0.0
2,0.2,3,2.0,0.0,0.0
2,0.4,1,2.0,-2.7755575615628914e-17,2.7755575615628914e-17
2,0.4,2,2.0,0.0,0.0
2,0.4,3,2.0,0.0,0.0
2,0.5,1,2.0,0.0,0.0
2,0.5,2,2.0,-5.551115123125783e-17,5.551115123125783e-17
2,0.5,3,2.0,0.0,0.0
2,0.8,1,2.0,0.0,0.0
2,0.8,2,2.0,0.0,0.0
2,0.8,3,2.0,0.0,0.0
2,1.0,1,2.0,0.0,0.0
2,1.0,2,2.0,1.1102230246251565e-16,1.1102230246251565e-16
2,1.0,3,2.0,0.0,0.0
2,2.0,1,2.0,0.0,0.0
2,2.0,2,2.0,0.0,0.0
2,2.0,3,2.0,0.0,0.0
4,0.025,1,2.0,0.0,0.0
4,0.025,2,2.0,0.0,0.0
